s,t,s1,s2,s3,s4,t1,t2,t3,t4
587,15105,8,0,0,0,1,0,0,0
6774,10689,1,0,0,0,22,0,2,0
9697,16935,2,0,1,0,1,0,0,0
100,9973,9,0,5,0,4,4,3,0
15735,14683,3,0,0,0,7,0,0,0
8732,2791,3,0,0,0,1,1,0,0
44,3852,1,0,0,0,3,0,0,0
10304,10799,2,0,0,0,2,0,0,0
11696,3047,17,0,4,29,74,1,13,57
9868,7643,1,0,0,0,1,0,0,0
11092,15287,2,0,0,0,5,3,1,0
2380,6394,16,0,15,5,18,1,6,1
1265,11640,27,1,6,1,26,0,0,3
7923,1431,1,0,0,0,20,0,9,4
13893,13775,81,0,3,11,5,0,1,1
22,9830,2,0,0,0,1,0,0,0
13377,9517,1,0,0,0,1,0,0,0
7234,2865,1,0,0,0,2,0,0,0
8450,4941,2,0,0,0,7,0,0,0
3012,17180,12,3,0,24,1,0,0,0
10222,4064,15,0,0,0,7,0,5,0
9592,16827,2,0,0,0,2,0,0,0
8535,2861,6,0,1,0,33,2,1,0
281,12636,2,0,0,0,1,0,1,0
14938,2374,19,0,0,0,2,1,0,0
6658,3276,24,2,4,0,3,0,0,0
14550,8439,2,0,0,0,1,0,0,0
6454,17041,1,0,0,0,1,0,0,0
8472,7305,2,0,0,0,1,0,0,0
11619,2931,1,1,0,0,143,22,55,199
12811,3035,8,0,0,0,3,0,0,0
17181,7840,1,0,0,0,22,0,0,0
4569,13363,7,0,0,6,7,0,0,0
6706,756,51,0,2,0,4,0,0,0
10295,10012,1,0,0,0,5,1,0,0
12792,938,90,2,0,1,8,0,0,0
6694,8218,2,0,1,1,1,0,0,0
5723,13584,47,0,0,6,21,0,1,0
10786,11161,1,0,0,1,10,2,33,42
7132,14222,1,0,1,0,142,25,60,238
12320,2804,1,0,0,0,25,0,0,0
6659,1775,1,0,0,0,36,0,3,1
927,11241,35,0,7,2,30,0,12,6
10844,1215,23,3,9,1,15,0,5,0
6000,4388,1,0,0,0,18,0,0,1
5823,11906,1,0,0,0,20,1,0,1
12804,16864,4,0,1,1,2,0,1,0
17136,775,8,0,1,20,4,0,0,5
11639,2601,2,0,0,0,1,0,0,0
12821,5431,24,0,12,20,22,2,2,17
439,12200,63,0,4,2,2,0,0,0
16413,11887,1,0,0,0,3,0,0,0
518,5929,1,0,0,0,147,0,20,13
10916,9100,3,1,1,1,3,0,1,0
403,5963,70,0,2,0,31,0,0,0
14164,5822,1,0,0,0,1,0,0,0
10771,13079,13,1,8,2,14,0,0,0
6575,16364,1,0,3,4,13,0,14,8
1446,4736,70,0,1,1,24,0,0,0
1758,12400,1,0,0,0,15,0,2,24
16153,1684,1,0,0,0,1,0,0,0
5836,3551,4,0,0,0,6,2,4,0
1161,13969,1,0,0,0,12,0,0,0
132,1113,2,0,0,0,1,0,0,0
5386,9592,83,2,1,0,2,0,0,0
2382,16106,2,1,11,9,1,3,1,0
1372,12581,1,0,0,0,1,0,0,0
15856,11361,1,0,0,0,1,0,0,0
1505,702,6,0,0,0,37,0,0,0
9103,2778,6,0,8,1,19,26,3,0
13838,12357,8,2,1,0,1,0,0,0
4486,7559,2,0,0,0,1,0,0,0
13074,288,1,0,0,0,1,0,0,0
10690,7581,1,0,0,0,2,0,0,0
11712,11186,2,0,0,3,3,3,0,11
5015,1296,63,0,0,0,18,0,0,0
10323,11932,15,1,4,0,7,0,3,0
5015,1298,63,0,0,0,25,1,0,0
6791,3322,1,0,0,0,1,0,0,0
12681,8609,1,0,0,0,1,0,0,0
12659,9001,2,0,0,0,7,0,0,0
9789,16001,6,0,0,0,1,0,0,0
1446,4749,70,0,1,1,11,0,1,0
1765,5934,76,1,13,10,9,2,6,11
2903,6738,4,0,0,0,2,0,0,0
12082,3978,5,0,0,0,2,0,0,0
6202,16453,1,0,0,0,1,0,0,0
12935,9678,32,0,10,1,8,0,0,1
13478,15188,1,0,0,2,3,0,1,4
1268,13705,50,3,42,2,22,2,5,43
12150,3889,10,1,17,0,119,3,16,9
3218,9425,3,0,0,0,13,0,1,0
4457,3820,3,0,0,0,5,0,0,0
14762,3731,2,0,2,0,1,0,0,0
6691,11228,129,4,75,14,55,0,12,0
5761,13493,94,3,38,164,21,0,5,0
16599,13340,1,0,0,0,3,0,0,0
5723,13552,47,0,0,6,7,0,1,0
10749,2946,1,0,0,0,2,0,0,0
767,10785,4,0,9,3,1,0,0,0
8083,3590,23,0,1,0,2,0,0,0
4821,1454,3,0,3,0,1,0,0,0
1740,8152,2,0,0,0,1,0,0,0
767,10788,4,0,9,3,33,0,2,1
12366,13614,5,0,1,57,2,0,0,2
10816,4399,1,0,0,0,1,2,4,1
199,1095,1,0,0,0,2,0,0,0
15978,12942,39,1,4,0,4,0,7,1
192,5478,10,0,0,2,1,0,0,0
5567,12461,2,0,0,0,19,0,3,0
15056,8228,1,0,0,0,3,0,0,0
9532,13626,1,0,0,0,2,0,0,0
577,10336,1,0,0,0,2,3,0,0
11393,9744,1,0,0,0,1,0,0,0
16493,9369,26,1,0,0,9,0,0,0
3131,14083,28,0,8,1,3,0,3,1
15593,10367,32,0,2,0,7,0,22,0
1208,10697,9,0,0,0,30,0,0,0
9275,925,2,0,0,0,1,0,20,1
13173,683,1,0,0,0,7,0,0,0
3922,6298,46,1,3,1,1,0,0,0
6691,11241,129,4,75,14,30,0,12,6
6290,12074,3,5,0,0,1,0,0,0
3896,2763,6,8,0,5,6,5,0,28
403,5881,70,0,2,0,113,0,1,0
2571,3347,1,0,0,0,1,0,0,0
1446,4779,70,0,1,1,5,0,1,1
5193,7207,5,0,2,0,11,0,3,4
12079,17083,28,5,8,0,1,0,0,0
17073,3468,22,0,9,2,16,0,4,0
6736,10782,2,0,0,2,53,0,11,83
14874,11240,1,1,0,0,8,14,3,6
14786,2947,7,0,0,0,1,0,0,0
5761,13463,94,3,38,164,1,0,1,2
6721,1875,1,0,0,0,3,0,0,0
11223,9277,55,0,5,1,40,0,0,4
1636,3280,3,1,2,1,1,4,10,6
5761,13467,94,3,38,164,1,1,8,20
5968,11656,1,0,0,0,1,0,0,0
6691,11255,129,4,75,14,57,1,2,0
17042,17385,3,0,7,0,4,4,40,11
8275,13066,1,0,0,0,2,0,0,0
760,1027,1,0,0,0,1,0,2,0
14300,17476,8,0,0,0,2,1,0,0
15083,9072,8,0,2,0,1,0,0,0
9108,12850,16,3,1,1,64,10,23,85
2233,9348,11,0,2,4,2,0,5,3
11329,5403,7,20,49,24,1,0,2,0
985,14683,5,2,0,0,7,0,0,0
6339,2170,2,18,0,5,13,2,8,1
15200,5126,1,0,1,5,1,0,0,0
4052,6236,1,0,0,0,1,0,0,1
